Date,Time,Open,Close,High,Low,HeikinAshi,MACD,SIGNAL,BuyPrice
2021-10-24,12:54:00,1.6,1.599,1.601,1.599,1.6,0.0,0.0,
2021-10-24,12:53:00,1.598,1.599,1.6,1.597,1.6,0.0,0.0,
2021-10-24,12:52:00,1.594,1.597,1.598,1.594,1.6,0.0,0.0,
2021-10-24,12:51:00,1.595,1.594,1.595,1.594,1.59,-0.0011428571428573342,-0.0007619047619048894,
2021-10-24,12:50:00,1.596,1.595,1.596,1.594,1.6,-0.000359183673469321,-0.0004934240362811772,
2021-10-24,12:49:00,1.595,1.595,1.596,1.594,1.6,1.7725947522029273e-05,-0.0001526573804123729,
2021-10-24,12:48:00,1.596,1.595,1.596,1.594,1.6,0.00017723281965853488,6.726941963489894e-05,
2021-10-24,12:47:00,1.594,1.595,1.596,1.594,1.59,-0.0009175194145294441,-0.0005892564698079964,1.595
2021-10-24,12:46:00,1.593,1.595,1.596,1.593,1.59,-0.0012818395818068318,-0.0010509785444738867,
2021-10-24,12:45:00,1.592,1.593,1.594,1.591,1.59,-0.0012914808441477632,-0.0012113134109231379,
2021-10-24,12:44:00,1.591,1.592,1.593,1.591,1.59,-0.001148015002962799,-0.001169114472282912,
2021-10-24,12:43:00,1.591,1.591,1.592,1.59,1.59,-0.0009553279278304849,-0.0010265901093146272,
2021-10-24,12:42:00,1.592,1.591,1.592,1.59,1.59,-0.0007635674181645236,-0.0008512416485478915,
2021-10-24,12:41:00,1.591,1.591,1.592,1.59,1.59,-0.000594119494803369,-0.0006798268793848765,
2021-10-24,12:40:00,1.59,1.591,1.592,1.589,1.59,-0.000453599585385156,-0.0005290086833850628,
2021-10-24,12:39:00,1.591,1.59,1.591,1.589,1.59,-0.0003415368144477071,-0.0004040274374268257,
2021-10-24,12:38:00,1.592,1.591,1.592,1.59,1.59,-0.00025447713382353854,-0.00030432723502463426,
2021-10-24,12:37:00,1.591,1.591,1.591,1.59,1.59,-0.00018808274111892231,-0.00022683090575415963,
2021-10-24,12:36:00,1.59,1.59,1.591,1.59,1.59,-0.00013813283097463547,-0.00016769885590114353,
2021-10-24,12:35:00,1.59,1.591,1.591,1.589,1.59,-0.00010093911737296679,-0.0001231923635490257,
2021-10-24,12:34:00,1.591,1.591,1.592,1.589,1.59,-7.346305527256014e-05,-9.003949136471534e-05,
2021-10-24,12:33:00,1.591,1.591,1.592,1.59,1.59,-5.329182234103946e-05,-6.554104534893143e-05,
2021-10-24,12:32:00,1.591,1.592,1.593,1.591,1.59,-3.8556514245779994e-05,-4.755135794683047e-05,
2021-10-24,12:31:00,1.591,1.591,1.593,1.59,1.59,-2.7834923434166825e-05,-3.440706827172138e-05,
2021-10-24,12:30:00,1.594,1.592,1.595,1.589,1.59,-2.0058821836421714e-05,-2.484157064818827e-05,
2021-10-24,12:29:00,1.592,1.594,1.595,1.592,1.59,-1.4433770084920639e-05,-1.790303693934318e-05,
2021-10-24,12:28:00,1.593,1.593,1.593,1.59,1.59,-1.0373459895962611e-05,-1.2883318910422801e-05,
2021-10-24,12:27:00,1.593,1.592,1.594,1.592,1.59,-7.447788684000756e-06,-9.259632092808105e-06,
2021-10-24,12:26:00,1.591,1.593,1.594,1.591,1.59,-5.342753743420303e-06,-6.648379859882904e-06,
2021-10-24,12:25:00,1.594,1.591,1.594,1.591,1.59,-3.829995484094795e-06,-4.769456942690831e-06,
2021-10-24,12:24:00,1.593,1.593,1.594,1.592,1.59,-2.7439567462650416e-06,-3.4191234784069716e-06,
2021-10-24,12:23:00,1.593,1.593,1.594,1.591,1.59,-1.9649165161617077e-06,-2.449652170243462e-06,
2021-10-24,12:22:00,1.594,1.593,1.595,1.591,1.59,-1.4064802442703694e-06,-1.7542042195947338e-06,
2021-10-24,12:21:00,1.595,1.594,1.596,1.593,1.59,-1.0064098141526756e-06,-1.255674615966695e-06,
2021-10-24,12:20:00,1.598,1.595,1.598,1.595,1.6,0.0011421372100632876,0.0007610062485035362,
2021-10-24,12:19:00,1.598,1.598,1.6,1.597,1.6,0.0015015259374320244,0.0012546860411225282,
2021-10-24,12:18:00,1.599,1.598,1.6,1.597,1.6,0.0014839467134550866,0.0014075264893442338,
2021-10-24,12:17:00,1.599,1.598,1.6,1.598,1.6,0.0013068188502129985,0.0013403880632567437,
2021-10-24,12:16:00,1.599,1.599,1.601,1.599,1.6,0.0010815561830848086,0.0011678334764754538,
2021-10-24,12:15:00,1.598,1.599,1.601,1.598,1.6,0.0008614086191061077,0.000963550238229223,
2021-10-24,12:14:00,1.599,1.598,1.6,1.598,1.6,0.0006686129637887284,0.0007669253886022266,
2021-10-24,12:13:00,1.598,1.599,1.6,1.598,1.6,0.0005095733442199712,0.0005953573590140565,
2021-10-24,12:12:00,1.598,1.599,1.599,1.597,1.6,0.0003831765536366216,0.00045390348876243327,
2021-10-24,12:11:00,1.6,1.597,1.6,1.597,1.6,0.00028521489439969905,0.0003414444258539438,
2021-10-24,12:10:00,1.6,1.6,1.602,1.599,1.6,0.00021063533822385239,0.00025423836743388285,
2021-10-24,12:09:00,1.601,1.601,1.601,1.6,1.6,0.0001546000612087095,0.00018781282995043396,
2021-10-24,12:08:00,1.601,1.6,1.601,1.6,1.6,0.00011291636406407513,0.0001378818526928614,
2021-10-24,12:07:00,1.602,1.601,1.602,1.6,1.6,8.214719510912794e-05,0.00010072541430370576,
2021-10-24,12:06:00,1.605,1.602,1.605,1.601,1.6,5.9572157544485194e-05,7.328990979755872e-05,
2021-10-24,12:05:00,1.605,1.605,1.606,1.604,1.6,4.308889486881462e-05,5.3155899845062655e-05,
24/10/2021,12:54:49,1.6,1.599,1.601,1.599,1.6,3.110019430874189e-05,3.845209615418214e-05,
24/10/2021,12:55:12,1.598,1.598,1.599,1.598,1.6,2.2407871862029083e-05,2.7755946626080102e-05,
24/10/2021,12:56:11,1.6,1.599,1.6,1.599,1.6,1.6121691172044095e-05,1.9999776323389433e-05,
24/10/2021,12:57:11,1.598,1.598,1.598,1.597,1.6,1.1585134742420067e-05,1.4390015269409856e-05,
24/10/2021,12:58:11,1.597,1.598,1.598,1.597,1.6,8.316880873548982e-06,1.0341259005502607e-05,
24/10/2021,12:59:11,1.596,1.596,1.596,1.596,1.6,5.965699972687588e-06,7.424219650292595e-06,
24/10/2021,13:00:11,1.597,1.596,1.597,1.596,1.6,4.276256732715922e-06,5.325577705241479e-06,
24/10/2021,13:01:13,1.596,1.597,1.597,1.595,1.6,3.0634945746843556e-06,3.817522284870064e-06,
24/10/2021,13:04:11,1.598,1.597,1.598,1.597,1.6,2.1936256984211866e-06,2.7349245605708125e-06,
24/10/2021,13:05:12,1.595,1.596,1.596,1.595,1.6,1.570124671834705e-06,1.9583913014134074e-06,
24/10/2021,13:06:11,1.597,1.594,1.597,1.594,1.6,1.1234671266624474e-06,1.4017751849127674e-06,
24/10/2021,13:07:11,1.596,1.595,1.596,1.594,1.6,8.036462213478757e-07,1.003022542536173e-06,
24/10/2021,13:08:11,1.593,1.593,1.594,1.592,1.59,-0.0011422824080202787,-0.0007611872644993404,
24/10/2021,13:09:12,1.592,1.593,1.593,1.591,1.59,-0.0015016298703500741,-0.0012548156683998295,
24/10/2021,13:10:14,1.591,1.589,1.591,1.588,1.59,-0.0014840210833086953,-0.0014076192783390733,
24/10/2021,13:11:11,1.589,1.588,1.589,1.588,1.59,-0.0013068720507700693,-0.0013404544599597372,
24/10/2021,13:12:11,1.587,1.586,1.587,1.585,1.59,-0.001081594231022276,-0.0011678809740014297,
24/10/2021,13:14:12,1.586,1.587,1.587,1.586,1.59,-0.0008614358247283072,-0.0009635842078193481,
24/10/2021,13:16:11,1.587,1.587,1.587,1.586,1.59,-0.0006686324134903554,-0.0007669496782666864,
24/10/2021,13:17:11,1.588,1.588,1.588,1.587,1.59,-0.0005095872471323482,-0.0005953747241771276,
